German	IPA	Vietnamese	Example	Translation
die Industrie	[ɪndʊsˈtʁiː]	Công nghiệp nói chung	Số ít: [Was bedeutet Industrie?] [vas bəˈdɔʏtət ɪndʊsˈtʁiː] – [Industrie ist die gewerbliche Produktion.] [ɪndʊsˈtʁiː ɪst diː ɡəˈvɛʁplɪçə pʁodʊkˈtsjoːn] \nSố nhiều: [Welche Industrien sind wichtig?] [ˈvɛlçə ɪnˈdʊstʁiən zɪnt ˈvɪçtɪç] – [Die Schwer‑ und die Leichtindustrie sind wichtige Industrien.] [diː ˈʃveːɐ̯ ʊnt diː ˈlaɪçtɪndʊstʁiː zɪnt ˈvɪçtɪɡə ɪnˈdʊstʁiən]	Số ít: "Công nghiệp nghĩa là gì?" – "Công nghiệp là hoạt động sản xuất mang tính thương mại." \nSố nhiều: "Những ngành công nghiệp nào quan trọng?" – "Công nghiệp nặng và công nghiệp nhẹ là những ngành công nghiệp quan trọng."
die Industriebranche	[ɪndʊsˈtʁiːˌbʁãːʃə]	Ngành công nghiệp	Số ít: [Was ist eine Industriebranche?] [vas ɪst ˈaɪnə ɪndʊsˈtʁiːˌbʁãːʃə] – [Eine Industriebranche ist ein Teilbereich der Wirtschaft.] [ˈaɪnə ɪndʊsˈtʁiːˌbʁãːʃə ɪst aɪn ˈtaɪlbəˌʁaɪç deːɐ ˈvɪʁtʃaft] \nSố nhiều: [Welche Industriebranchen gibt es hier?] [ˈvɛlçə ɪndʊsˈtʁiːˌbʁãːʃən ɡiːpt ɛs hiːɐ] – [Es gibt die Automobil‑ und die Chemiebranche.] [ɛs ɡiːpt diː aʊtoˈmoːbiːl ʊnt diː çeˈmiːbʁãːʃə]	Số ít: "Ngành công nghiệp là gì?" – "Ngành công nghiệp là một lĩnh vực của nền kinh tế." \nSố nhiều: "Ở đây có những ngành công nghiệp nào?" – "Có ngành ô tô và ngành hóa chất."
der Industriezweig	[ɪndʊsˈtʁiːˌtsvaɪk]	Ngành công nghiệp (phân nhánh)	Số ít: [Welcher Industriezweig wächst schnell?] [ˈvɛlçɐ ɪndʊsˈtʁiːˌtsvaɪk vɛkst ʃnɛl] – [Der Industriezweig der erneuerbaren Energien wächst schnell.] [deːɐ ɪndʊsˈtʁiːˌtsvaɪk deːɐ ɛɐˈnɔʏɐbaːʁən enɛʁˈɡiːən vɛkst ʃnɛl] \nSố nhiều: [Welche Industriezweige sind krisenfest?] [ˈvɛlçə ɪndʊsˈtʁiːˌtsvaɪɡə zɪnt ˈkʁiːzn̩fɛst] – [Die Lebensmittel‑ und die Pharmazweige gelten als krisenfest.] [diː ˈleːbənsmɪtəl ʊnt diː faʁˈmaːtsvaɪɡə ˈɡɛltən als ˈkʁiːzn̩fɛst]	Số ít: "Ngành công nghiệp nào đang tăng trưởng nhanh?" – "Ngành công nghiệp năng lượng tái tạo đang tăng trưởng nhanh." \nSố nhiều: "Những phân ngành công nghiệp nào chống chịu khủng hoảng tốt?" – "Ngành thực phẩm và dược phẩm được coi là chống chịu khủng hoảng tốt."
das Industriegebiet	[ɪndʊsˈtʁiːɡəˌbiːt]	Khu vực công nghiệp	Số ít: [Wo liegt das Industriegebiet?] [voː liːkt das ɪndʊsˈtʁiːɡəˌbiːt] – [Das Industriegebiet liegt am Stadtrand.] [das ɪndʊsˈtʁiːɡəˌbiːt liːkt am ˈʃtatʁant] \nSố nhiều: [Welche Industriegebiete sind erschlossen?] [ˈvɛlçə ɪndʊsˈtʁiːɡəˌbiːtə zɪnt ɛɐˈʃlɔsən] – [Die Industriegebiete im Norden sind gut erschlossen.] [diː ɪndʊsˈtʁiːɡəˌbiːtə ɪm ˈnɔʁdən zɪnt ɡuːt ɛɐˈʃlɔsən]	Số ít: "Khu công nghiệp nằm ở đâu?" – "Khu công nghiệp nằm ở ngoại ô." \nSố nhiều: "Những khu vực công nghiệp nào đã được phát triển hạ tầng?" – "Các khu công nghiệp ở phía bắc đã được phát triển hạ tầng tốt."
der Industriepark	[ɪndʊsˈtʁiːˌpaʁk]	Khu công nghiệp tập trung	Số ít: [Was bietet dieser Industriepark?] [vas ˈbiːtət ˈdiːzɐ ɪndʊsˈtʁiːˌpaʁk] – [Dieser Industriepark bietet moderne Logistik.] [ˈdiːzɐ ɪndʊsˈtʁiːˌpaʁk ˈbiːtət moˈdɛʁnə loˈɡɪstɪk] \nSố nhiều: [Wie viele Industrieparks gibt es in der Region?] [viː ˈfiːlə ɪndʊsˈtʁiːˌpaʁks ɡiːpt ɛs ɪn deːɐ ʁeˈɡjoːn] – [Es gibt drei große Industrieparks.] [ɛs ɡiːpt dʁaɪ ˈɡʁoːsə ɪndʊsˈtʁiːˌpaʁks]	Số ít: "Khu công nghiệp này cung cấp những gì?" – "Khu công nghiệp này cung cấp dịch vụ logistics hiện đại." \nSố nhiều: "Có bao nhiêu khu công nghiệp trong vùng?" – "Có ba khu công nghiệp lớn."
der Industriebetrieb	[ɪndʊsˈtʁiːbəˌtʁiːp]	Cơ sở công nghiệp	Số ít: [Wie viele Mitarbeiter hat der Industriebetrieb?] [viː ˈfiːlə ˈmɪtaʁbaɪtɐ hat deːɐ ɪndʊsˈtʁiːbəˌtʁiːp] – [Der Industriebetrieb beschäftigt über 500 Leute.] [deːɐ ɪndʊsˈtʁiːbəˌtʁiːp bəˈʃɛftɪçt ˈyːbɐ fʏnfˈhʊndɐt ˈlɔʏtə] \nSố nhiều: [Sind die Industriebetriebe exportorientiert?] [zɪnt diː ɪndʊsˈtʁiːbəˌtʁiːbə ɛksˈpɔʁtʔoʁiɛnˌtiːɐt] – [Ja, die meisten Industriebetriebe exportieren ihre Produkte.] [jaː diː ˈmaɪstən ɪndʊsˈtʁiːbəˌtʁiːbə ɛkspɔʁˈtiːʁən ˈiːʁə pʁoˈdʊktə]	Số ít: "Cơ sở công nghiệp có bao nhiêu nhân viên?" – "Cơ sở công nghiệp sử dụng hơn 500 người." \nSố nhiều: "Các cơ sở công nghiệp có định hướng xuất khẩu không?" – "Có, phần lớn các cơ sở công nghiệp đều xuất khẩu sản phẩm của họ."
die Fabrik	[faˈbʁiːk]	Nhà máy	Số ít: [Wo steht die Fabrik?] [voː ʃteːt diː faˈbʁiːk] – [Die Fabrik steht im Gewerbegebiet.] [diː faˈbʁiːk ʃteːt ɪm ɡəˈvɛʁbəɡəˌbiːt] \nSố nhiều: [Wie viele Fabriken gehören zum Konzern?] [viː ˈfiːlə faˈbʁiːkən ɡəˈhøːʁən tsʊm kɔnˈtsɛʁn] – [Zum Konzern gehören zehn Fabriken weltweit.] [tsʊm kɔnˈtsɛʁn ɡəˈhøːʁən tseːn faˈbʁiːkən ˈvɛltvaɪt]	Số ít: "Nhà máy nằm ở đâu?" – "Nhà máy nằm trong khu thương mại." \nSố nhiều: "Có bao nhiêu nhà máy thuộc tập đoàn?" – "Tập đoàn sở hữu mười nhà máy trên toàn thế giới."
das Werk	[vɛʁk]	Nhà máy (tổ hợp sản xuất)	Số ít: [Was produziert das Werk?] [vas pʁoduˈtsiːɐt das vɛʁk] – [Das Werk produziert Automobilteile.] [das vɛʁk pʁoduˈtsiːɐt aʊtoˈmoːbiːlˌtaɪlə] \nSố nhiều: [Welche Werke arbeiten im Dreischichtbetrieb?] [ˈvɛlçə ˈvɛʁkə ˈaʁbaɪtən ɪm ˈdʁaɪʃɪçtbəˌtʁiːp] – [Die Werke in Asien arbeiten im Dreischichtbetrieb.] [diː ˈvɛʁkə ɪn ˈaːziən ˈaʁbaɪtən ɪm ˈdʁaɪʃɪçtbəˌtʁiːp]	Số ít: "Nhà máy sản xuất cái gì?" – "Nhà máy sản xuất linh kiện ô tô." \nSố nhiều: "Những nhà máy nào làm việc theo chế độ ba ca?" – "Các nhà máy ở châu Á làm việc theo chế độ ba ca."
die Werkstatt	[ˈvɛʁkʃtat]	Xưởng sản xuất (nhỏ)	Số ít: [Was wird in der Werkstatt hergestellt?] [vas vɪʁt ɪn deːɐ ˈvɛʁkʃtat ˈheːɐɡəʃtɛlt] – [In der Werkstatt werden Metallteile bearbeitet.] [ɪn deːɐ ˈvɛʁkʃtat ˈvɛʁdən meˈtalˌtaɪlə bəˈʔaʁbaɪtət] \nSố nhiều: [Sind die Werkstätten gut ausgestattet?] [zɪnt diː ˈvɛʁkʃtɛtn̩ ɡuːt ˈaʊsɡəʃtatət] – [Ja, die Werkstätten haben moderne CNC‑Maschinen.] [jaː diː ˈvɛʁkʃtɛtn̩ ˈhaːbən moˈdɛʁnə tseːɛnˈtseː maˈʃiːnən]	Số ít: "Ở xưởng người ta sản xuất cái gì?" – "Ở xưởng người ta gia công các chi tiết kim loại." \nSố nhiều: "Các xưởng có được trang bị tốt không?" – "Có, các xưởng có máy CNC hiện đại."
die Produktionshalle	[pʁodʊkˈtsjoːnsˌhalə]	Phân xưởng sản xuất	Số ít: [Wie groß ist die Produktionshalle?] [viː ɡʁoːs ɪst diː pʁodʊkˈtsjoːnsˌhalə] – [Die Produktionshalle hat eine Fläche von 5000 Quadratmetern.] [diː pʁodʊkˈtsjoːnsˌhalə hat ˈaɪnə ˈflɛçə fɔn fʏnfˈtaʊzn̩t kvaˈdʁaːtˌmeːtɐn] \nSố nhiều: [Werden die Produktionshallen klimatisiert?] [ˈvɛʁdən diː pʁodʊkˈtsjoːnsˌhalən kʁimatiˈziːɐt] – [Ja, alle Produktionshallen sind klimatisiert.] [jaː ˈalə pʁodʊkˈtsjoːnsˌhalən zɪnt kʁimatiˈziːɐt]	Số ít: "Phân xưởng sản xuất lớn cỡ nào?" – "Phân xưởng sản xuất có diện tích 5000 mét vuông." \nSố nhiều: "Các phân xưởng sản xuất có được điều hòa không?" – "Có, tất cả phân xưởng đều được điều hòa."
der Industriearbeiter	[ɪndʊsˈtʁiːˌaʁbaɪtɐ]	Công nhân công nghiệp (nam)	Số ít: [Was macht der Industriearbeiter?] [vas maxt deːɐ ɪndʊsˈtʁiːˌaʁbaɪtɐ] – [Der Industriearbeiter montiert Bauteile am Fließband.] [deːɐ ɪndʊsˈtʁiːˌaʁbaɪtɐ mɔnˈtiːɐt ˈbaʊtaɪlə am ˈfliːsbant] \nSố nhiều: [Wie viele Industriearbeiter sind beschäftigt?] [viː ˈfiːlə ɪndʊsˈtʁiːˌaʁbaɪtɐ zɪnt bəˈʃɛftɪçt] – [Über 200 Industriearbeiter arbeiten hier.] [ˈyːbɐ ˈtsvaɪhʊndɐt ɪndʊsˈtʁiːˌaʁbaɪtɐ ˈaʁbaɪtən hiːɐ]	Số ít: "Công nhân công nghiệp làm gì?" – "Công nhân công nghiệp lắp ráp các chi tiết trên băng chuyền." \nSố nhiều: "Có bao nhiêu công nhân công nghiệp đang làm việc?" – "Hơn 200 công nhân công nghiệp đang làm việc ở đây."
die Industriearbeiterin	[ɪndʊsˈtʁiːˌaʁbaɪtəʁɪn]	Công nhân công nghiệp (nữ)	Số ít: [Arbeitet die Industriearbeiterin im Schichtbetrieb?] [ˈaʁbaɪtət diː ɪndʊsˈtʁiːˌaʁbaɪtəʁɪn ɪm ˈʃɪçtbəˌtʁiːp] – [Ja, die Industriearbeiterin arbeitet im Dreischichtsystem.] [jaː diː ɪndʊsˈtʁiːˌaʁbaɪtəʁɪn ˈaʁbaɪtət ɪm ˈdʁaɪʃɪçtzʏsˌteːm] \nSố nhiều: [Sind die Industriearbeiterinnen tariflich bezahlt?] [zɪnt diː ɪndʊsˈtʁiːˌaʁbaɪtəʁɪnən taˈʁiːflɪç bəˈtsaːlt] – [Ja, die Industriearbeiterinnen erhalten Tariflohn.] [jaː diː ɪndʊsˈtʁiːˌaʁbaɪtəʁɪnən ɛɐˈhaltən taˈʁiːfloːn]	Số ít: "Nữ công nhân công nghiệp có làm theo ca không?" – "Có, nữ công nhân công nghiệp làm việc theo hệ thống ba ca." \nSố nhiều: "Nữ công nhân công nghiệp có được trả lương theo thỏa ước không?" – "Có, nữ công nhân công nghiệp nhận lương theo thỏa ước."
